code,name,description,refreshed_at,from_date,to_date
SP500_EARNINGS_GROWTH_QUARTER,S&P 500 Earnings Growth Rate by Quarter,"S&P 500 earnings growth rate per year. Annual current dollars percentage change in 12 month earnings per share, (not inflation adjusted). Source: Standard & Poor's",2022-08-02 04:05:41,1989-12-31,2022-03-31
SP500_EARNINGS_GROWTH_YEAR,S&P 500 Earnings Growth Rate by Year,"S&P 500 earnings growth rate per year. Annual current dollars percentage change in 12 month earnings per share, (not inflation adjusted). Source: Standard & Poor's",2022-08-02 04:05:42,1989-12-31,2022-03-31
SP500_EARNINGS_MONTH,S&P 500 Earnings by Month,"S&P 500 Earnings Per Share. 12-month real earnings per share inflation adjusted, constant June, 2022 dollars. Sources: Standard & Poor's for current S&P 500 Earnings. Robert Shiller and his book Irrational Exuberance for historic S&P 500 Earnings.",2022-08-02 04:05:41,1871-01-31,2022-03-31
SP500_EARNINGS_YEAR,S&P 500 Earnings by Year,"S&P 500 Earnings Per Share. 12-month real earnings per share inflation adjusted, constant June, 2022 dollars. Sources: Standard & Poor's for current S&P 500 Earnings. Robert Shiller and his book Irrational Exuberance for historic S&P 500 Earnings.",2022-08-02 04:05:41,1871-12-31,2022-03-31
SP500_EARNINGS_YIELD_MONTH,S&P 500 Earnings Yield by Month,"S&P 500 Earnings Yield. Earnings Yield = trailing 12 month earnings divided by index price (or inverse PE) Yields following March, 2022 (including current yield) are estimated based on 12 month earnings through March, 2022 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:42,1871-01-01,2022-08-01
SP500_EARNINGS_YIELD_YEAR,S&P 500 Earnings Yield by Year,"S&P 500 Earnings Yield. Earnings Yield = trailing 12 month earnings divided by index price (or inverse PE) Yields following March, 2022 (including current yield) are estimated based on 12 month earnings through March, 2022 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:42,1871-01-01,2022-08-01
SP500_INFLADJ_MONTH,S&P 500 Inflation Adjusted by Month,"Inflation adjusted, constant June, 2022 dollars. Other than the current price, all prices are monthly average closing prices. Sources: Standard & Poor's Robert Shiller and his book Irrational Exuberance for historic S&P 500 prices, and historic CPIs.",2022-08-02 04:05:39,1871-01-01,2022-08-01
SP500_INFLADJ_YEAR,S&P 500 Inflation Adjusted by Year,"Inflation adjusted, constant June, 2022 dollars. Other than the current price, all prices are monthly average closing prices. Sources: Standard & Poor's Robert Shiller and his book Irrational Exuberance for historic S&P 500 prices, and historic CPIs.",2022-08-02 04:05:39,1871-01-01,2022-08-01
SP500_PBV_RATIO_QUARTER,S&P 500 Price to Book Value by Quarter,"S&P 500 price to book value ratio. Current price to book ratio is estimated based on current market price and S&P 500 book value as of December, 2021 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:42,1999-12-31,2022-08-01
SP500_PBV_RATIO_YEAR,S&P 500 Price to Book Value by Year,"S&P 500 price to book value ratio. Current price to book ratio is estimated based on current market price and S&P 500 book value as of December, 2021 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:43,1999-12-31,2022-08-01
SP500_PE_RATIO_MONTH,S&P 500 PE Ratio by Month,"Price to earnings ratio, based on trailing twelve month as reported earnings. Current PE is estimated from latest reported earnings and current market price. Source: Robert Shiller and his book Irrational Exuberance for historic S&P 500 PE Ratio.",2022-08-02 04:05:43,1871-01-01,2022-08-01
SP500_PE_RATIO_YEAR,S&P 500 PE Ratio by Year,"Price to earnings ratio, based on trailing twelve month as reported earnings. Current PE is estimated from latest reported earnings and current market price. Source: Robert Shiller and his book Irrational Exuberance for historic S&P 500 PE Ratio.",2022-08-02 04:05:43,1871-01-01,2022-08-01
SP500_PSR_QUARTER,S&P 500 Price to Sales Ratio by Quarter,"S&P 500 Price to Sales Ratio (P/S or Price to Revenue). Current price to sales ratio is estimated based on current market price and 12 month sales ending March, 2022 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:43,2000-12-31,2022-08-01
SP500_PSR_YEAR,S&P 500 Price to Sales Ratio by Year,"S&P 500 Price to Sales Ratio (P/S or Price to Revenue). Current price to sales ratio is estimated based on current market price and 12 month sales ending March, 2022 the latest reported by S&P. Source: Standard & Poor's",2022-08-02 04:05:44,2000-12-31,2022-08-01
SP500_REAL_EARNINGS_GROWTH_QUARTER,S&P 500 Real Earnings Growth by Quarter,S&P 500 real earnings growth rate per year. Annual percentage change in 12 month S&P 500 Real Earnings Per Share (inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,1989-12-31,2022-03-31
SP500_REAL_EARNINGS_GROWTH_YEAR,S&P 500 Real Earnings Growth by Year,S&P 500 real earnings growth rate per year. Annual percentage change in 12 month S&P 500 Real Earnings Per Share (inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,1989-12-31,2022-03-31
SP500_REAL_PRICE_MONTH,S&P 500 Real Price by Month,"S&P 500 historical prices. Prices are not inflation-adjusted. For inflation-adjusted comparison, see Inflation Adjusted S&P 500. Other than the current price, all prices are monthly average closing prices. Sources: Standard & Poor's Robert Shiller and his book Irrational Exuberance for historic S&P 500 prices, and historic CPIs.",2022-08-02 04:05:42,1871-01-01,2022-08-01
SP500_REAL_PRICE_YEAR,S&P 500 Real Price by Year,"S&P 500 historical prices. Prices are not inflation-adjusted. For inflation-adjusted comparison, see Inflation Adjusted S&P 500. Other than the current price, all prices are monthly average closing prices. Sources: Standard & Poor's Robert Shiller and his book Irrational Exuberance for historic S&P 500 prices, and historic CPIs.",2022-08-02 04:05:42,1871-01-01,2022-08-01
SP500_REAL_SALES_GROWTH_QUARTER,S&P 500 Real Sales Growth by Quarter,S&P 500 real sales growth rate per year. Annual percentage change in 12 month S&P 500 Real Sales (inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,2001-12-31,2022-03-31
SP500_REAL_SALES_GROWTH_YEAR,S&P 500 Real Sales Growth by Year,S&P 500 real sales growth rate per year. Annual percentage change in 12 month S&P 500 Real Sales (inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,2001-12-31,2022-03-31
SP500_REAL_SALES_QUARTER,S&P 500 Real Sales by Quarter,"Trailing twelve month S&P 500 Sales Per Share (S&P 500 Revenue Per Share) inflation-adjusted June, 2022 constant Source: Standard & Poor's",2022-08-02 04:05:44,2000-12-31,2022-03-31
SP500_REAL_SALES_YEAR,S&P 500 Real Sales by Year,"Trailing twelve month S&P 500 Sales Per Share (S&P 500 Revenue Per Share) inflation-adjusted June, 2022 constant Source: Standard & Poor's",2022-08-02 04:05:44,2000-12-31,2022-03-31
SP500_SALES_GROWTH_QUARTER,S&P 500 Sales Growth Rate by Quarter,S&P 500 sales growth rate per year. Annual percentage change in 12 month S&P 500 Sales (not-inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,2001-12-31,2022-03-31
SP500_SALES_GROWTH_YEAR,S&P 500 Sales Growth Rate by Year,S&P 500 sales growth rate per year. Annual percentage change in 12 month S&P 500 Sales (not-inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:44,2001-12-31,2022-03-31
SP500_SALES_QUARTER,S&P 500 Sales by Quarter,Trailing twelve month S&P 500 Sales Per Share (S&P 500 Revenue Per Share) non-inflation adjusted current dollars. Source: Standard & Poor's,2022-08-02 04:05:44,2000-12-31,2022-03-31
SP500_SALES_YEAR,S&P 500 Sales by Year,Trailing twelve month S&P 500 Sales Per Share (S&P 500 Revenue Per Share) non-inflation adjusted current dollars. Source: Standard & Poor's,2022-08-02 04:05:44,2000-12-31,2022-03-31
